"Sample"	"3prime_overlapping_ncRNA"	"antisense"	"antisense;bidirectional_promoter_lncRNA"	"antisense;lincRNA"	"antisense;processed_transcript"	"antisense;sense_intronic"	"antisense;sense_overlapping"	"bidirectional_promoter_lncRNA"	"bidirectional_promoter_lncRNA;lincRNA"	"bidirectional_promoter_lncRNA;processed_transcript"	"IG_C_gene"	"IG_C_pseudogene"	"IG_D_gene"	"IG_J_gene"	"IG_J_gene;antisense"	"IG_J_gene;lincRNA"	"IG_LV_gene"	"IG_pseudogene"	"IG_V_gene"	"IG_V_pseudogene"	"lincRNA"	"lincRNA;processed_transcript"	"lincRNA;processed_transcript;sense_intronic"	"lincRNA;sense_intronic"	"lincRNA;sense_overlapping"	"macro_lncRNA"	"miRNA"	"misc_RNA"	"Mt_rRNA"	"Mt_tRNA"	"piRNA"	"polymorphic_pseudogene"	"processed_pseudogene"	"processed_transcript"	"processed_transcript;sense_intronic"	"processed_transcript;sense_overlapping"	"protein_coding"	"pseudogene"	"ribozyme"	"rRNA"	"scaRNA"	"scRNA"	"sense_intronic"	"sense_overlapping"	"snoRNA"	"snRNA"	"sRNA"	"TEC"	"TR_C_gene"	"TR_J_gene"	"TR_J_pseudogene"	"TR_V_gene"	"TR_V_gene;antisense"	"TR_V_gene;lincRNA"	"TR_V_pseudogene"	"TR_V_pseudogene;antisense"	"TR_V_pseudogene;sense_overlapping"	"transcribed_processed_pseudogene"	"transcribed_unitary_pseudogene"	"transcribed_unprocessed_pseudogene"	"translated_unprocessed_pseudogene"	"tRNA"	"unassigned"	"unitary_pseudogene"	"unprocessed_pseudogene"
"BA1_CA1_cor_22_1"	0	0.0248595602358551	1.19651340779024e-05	0.000550396167583508	9.97094506491863e-05	3.98837802596745e-06	7.9767560519349e-06	0.00138795555303667	2.79186461817722e-05	3.98837802596745e-06	0.000382884290492875	0	0	0	0	0	0	0	1.19651340779024e-05	3.98837802596745e-06	0.348644065139945	0.000765768580985751	3.58954022337071e-05	1.19651340779024e-05	0	0	62.3841151837193	0.571741966778486	1.1708122997909	0.282895653381871	4.77400075276647	0.000227337547480145	0.00383681966098069	0.431012048132225	0	3.98837802596745e-06	7.95489575197458	0.00298729514144962	0.0293544622711204	2.85203727745499	0.283637491694701	0	3.98837802596745e-06	0.00020340727932434	16.2969313937957	0.477779768864719	1.99418901298373e-05	0.00457865797381063	3.98837802596745e-06	3.98837802596745e-06	0	3.98837802596745e-06	0	0	3.98837802596745e-06	0	0	0.000805652361245425	0.000614210215998988	0.00147569986960796	0	0.546152533363879	1.53994067447222	0.00716711531266351	0.0059426832586915
"BA1_CA1_cor_23_1"	7.45166533170082e-06	0.0267440268754742	0	0.000618488222531168	7.45166533170082e-05	0	7.45166533170082e-06	0.00157975305032057	1.49033306634016e-05	7.45166533170082e-06	0.000186291633292521	7.45166533170082e-06	0	0	0	0	0	0	1.49033306634016e-05	7.45166533170082e-06	0.467659064552212	0.00081223152115539	4.47099919902049e-05	2.23549959951025e-05	0	0	55.1859231484419	0.700799317785135	1.56188395685516	0.40443168421273	4.38305464477576	0.000238453290614426	0.00591662227337045	0.481422290419863	0	0	10.3594616291024	0.00367367100852851	0.0380407515183327	2.7769301508463	0.320056477661882	0	0	0.000186291633292521	19.5943477330059	0.674740844120178	1.49033306634016e-05	0.00736969701305211	7.45166533170082e-06	0	0	1.49033306634016e-05	0	0	0	0	0	0.000931458166462603	0.000573778230540963	0.00201194963955922	7.45166533170082e-06	0.510282590249541	2.47195584381578	0.012429377773277	0.00548442568413181
"BA1_CA1_cor_24_1"	0	0.0268722485453467	0	0.00059425341680722	7.08742607201272e-05	0	1.09037324184811e-05	0.00164101172898141	3.81630634646839e-05	5.45186620924055e-06	0.000327111972554433	0	0	0	0	5.45186620924055e-06	0	0	2.72593310462028e-05	0	0.349491883343366	0.000714194473410513	2.18074648369622e-05	1.09037324184811e-05	1.09037324184811e-05	0	56.4679823073857	0.660161027410729	1.53740991540721	0.388483630471854	4.48421447576245	0.000190815317323419	0.00444327096053105	0.384749102118524	5.45186620924055e-06	1.63555986277217e-05	10.0552966434005	0.00350009810633244	0.0423173855161252	3.0290241546568	0.344661529881979	0	0	0.000190815317323419	19.381406181315	0.684798010810287	3.27111972554433e-05	0.00423064817837067	0	0	0	0	0	0	5.45186620924055e-06	0	0	0.000736001938247475	0.000517927289877853	0.00172278972212002	0	0.558620019263624	1.56713348997999	0.0124847736191609	0.00582259311146891
"BA1_CA1_cor_25_1"	0	0.0260700440295326	0	0.000579084437145107	8.99548640225409e-05	0	0	0.00194527393448745	5.62217900140881e-05	5.62217900140881e-06	0.00047226303611834	0	0	0	0	0	0	0	1.12443580028176e-05	0	0.380930738240454	0.000758994165190189	0	1.68665370042264e-05	1.68665370042264e-05	0	59.9391747698196	0.61289622165958	1.29193737927073	0.467990180077269	4.40073250245774	0.000241753697060579	0.00678034787569902	0.390044290401737	0	0	9.08434494137136	0.00371063814092981	0.0352679288758374	2.49439215755504	0.346135072400735	0	1.12443580028176e-05	0.000191154086047899	16.8720186287528	0.620182565645405	5.62217900140881e-06	0.0081071821200315	5.62217900140881e-06	0	0	1.12443580028176e-05	0	0	0	0	0	0.000809593776202868	0.000702772375176101	0.0015348548673846	0	0.54808936431034	2.44736263020826	0.0105584521646457	0.0058077109084553
"BA1_CA1_cor_26_1"	0	0.026465408870093	0	0.000614221622799389	0.000134697724298112	0	5.38790897192447e-06	0.00156788151083002	4.31032717753958e-05	0	0.000484911807473202	0	0	0	0	0	0	0	5.38790897192447e-06	1.07758179438489e-05	0.498925758709178	0.000754307256069426	1.61637269157734e-05	1.07758179438489e-05	0	0	52.3810516724177	0.627847644589386	1.5560442748187	0.444152276100593	5.75784818984577	0.000274783357568148	0.0161852785516611	0.414965973199679	0	5.38790897192447e-06	11.4889076962831	0.00606139759341503	0.0391108312271997	2.92479405795537	0.341997521992906	0	5.38790897192447e-06	0.00025323172168045	17.479718294257	0.622362753255967	3.23274538315468e-05	0.0201723311908852	0	5.38790897192447e-06	0	2.15516358876979e-05	0	0	5.38790897192447e-06	0	0	0.0010560301584972	0.000441808535697806	0.00182111323251047	5.38790897192447e-06	0.515563621614481	4.81216240709359	0.0122413291842124	0.00584588123453805
"BA1_CA1_cor_27_1"	0	0.0469894966627503	0	0.000476062135197102	0.000205572285653294	0	0	0.00202326407458768	2.16391879635046e-05	0	0.000389505383343084	0	0	0	0	0	0	0	0	0	0.207508992976028	0.000854747924558433	0	5.40979699087616e-05	2.16391879635046e-05	0	40.4335800813871	0.403646592677234	0.759470579955122	0.171999085527917	9.24069063199521	0.000183933097689789	0.00709765365202952	0.239935316139339	0	0	26.5856033833303	0.00873141234327412	0.0229591784292784	3.17453379181002	0.395239768153412	0	1.08195939817523e-05	0.000259670255562056	14.5225459240371	0.706649322136208	1.08195939817523e-05	0.00502029160753308	0	0	0	8.65567518540186e-05	0	0	1.08195939817523e-05	0	0	0.000952124270394204	0.000432783759270093	0.00253178499173004	0	0.6764734745211	2.37453301279926	0.00388423423944908	0.00438193556260969
"BA1_CA1_cor_28_1"	0	0.0213029213223114	4.28889094469728e-06	0.000510378022418977	6.00444732257619e-05	0	0	0.00146680070308647	2.14444547234864e-05	0	0.000579000277534133	0	0	0	0	0	0	0	4.28889094469728e-06	4.28889094469728e-06	0.308371258923735	0.000772000370045511	0	1.71555637787891e-05	1.28666728340918e-05	0	59.7681142488494	0.622129364874009	1.52510817547963	0.34109978572272	4.28009014047876	0.000223022329124259	0.00373133512188664	0.399261435823759	0	4.28889094469728e-06	9.25326934651155	0.00289929027861536	0.0381411071711929	3.14146250580769	0.350681168093173	0	0	0.000132955619285616	17.4610786363437	0.56735593861928	3.43111275575783e-05	0.0034654238833154	4.28889094469728e-06	4.28889094469728e-06	0	4.28889094469728e-06	0	0	4.28889094469728e-06	0	0	0.000651911423593987	0.000368844621243966	0.00130382284718797	4.28889094469728e-06	0.510686822566995	1.3795046167981	0.0111382497833788	0.00491506902262309
"BA1_CA1_cor_29_1"	0	0.0223392380070615	0	0.000535529678251474	7.65042397502106e-05	0	0	0.00110931147637805	3.06016959000842e-05	7.65042397502106e-06	0.000306016959000842	0	0	0	0	0	0	0	1.53008479500421e-05	0	0.299445244806299	0.000558480950176537	1.53008479500421e-05	0	2.29512719250632e-05	0	71.400029882556	0.508623137131325	0.895673386875591	0.258775590955087	3.58457555180022	0.000175959751425484	0.0045060997212874	0.240460475958887	0	1.53008479500421e-05	7.61707577691394	0.00258584330355712	0.0184528226277508	1.53287719975509	0.222780346152613	0	7.65042397502106e-06	0.000229512719250632	10.8773728076849	0.302298852948982	1.53008479500421e-05	0.00622744511566714	7.65042397502106e-06	7.65042397502106e-06	0	2.29512719250632e-05	2.29512719250632e-05	0	7.65042397502106e-06	0	0	0.000742091125577043	0.000275415263100758	0.00146123097922902	0	0.402817773556784	1.78500457227589	0.00778813160657144	0.00462085608091272
"BA1_CA1_olf_1_1"	0	0.0123076217882991	1.12347072462794e-05	0.000317380479707394	8.70689811586657e-05	2.80867681156986e-06	0	0.00152511150868243	7.58342739123863e-05	8.42603043470958e-06	0.0006151002217338	0	0	0	0	0	0	0	1.12347072462794e-05	0	0.185698476073753	0.000491518442024726	1.12347072462794e-05	2.24694144925589e-05	2.80867681156986e-06	0	84.8884761507107	0.24092267954284	0.407533388005164	0.104814201254164	1.56456218317774	0.000190990023186751	0.00306426640142272	0.104670958736774	0	2.80867681156986e-06	2.6195292803715	0.00171048417824605	0.0112515593071489	0.830952652056567	0.171115826068082	0	5.61735362313972e-06	0.000143242517390063	7.5054472882422	0.136990402807508	1.12347072462794e-05	0.00293787594490207	0	0	0	2.80867681156986e-06	5.61735362313972e-06	0	5.61735362313972e-06	0	0	0.00060386551448752	0.00040444946086606	0.00110100131013539	0	0.307384398935017	0.889280443402438	0.00308673581591528	0.00260364340432526
"BA1_CA1_olf_2_1"	0	0.0122157695235406	0	0.000292989443117801	0.0001464947215589	0	0	0.00138461140054058	1.89025447172775e-05	0	0.000694668518359947	0	0	0	0	0	0	0	9.45127235863874e-06	4.72563617931937e-06	0.158152866013281	0.000604881430952879	4.72563617931937e-06	4.72563617931937e-06	9.45127235863874e-06	0	84.3029440902423	0.217884907319878	0.354796038707119	0.08435733143703	1.95009047703029	0.000108689632124345	0.0034166349576479	0.0855434661180392	0	0	3.46663691406128	0.00217851827866623	0.0112092090173455	0.924438400670814	0.166744072587284	0	0	0.000103963995945026	6.85603330477159	0.151437737002468	2.36281808965968e-05	0.00299132770150916	0	0	0	1.89025447172775e-05	0	0	0	0	0	0.000784455605767015	0.000581253250056282	0.00105381686798822	0	0.378003637983756	0.859068675402289	0.00368599621986911	0.00232028736404581
"BA1_CA1_olf_3_1"	0	0.0120077561447568	1.2023787861906e-05	0.000244483686525422	9.6190302895248e-05	0	4.007929287302e-06	0.00156309242204778	5.2103080734926e-05	0	0.000484959443763542	0	0	0	0	0	0	0	8.015858574604e-06	0	0.206223993548837	0.00050099116091275	0	1.2023787861906e-05	1.6031717149208e-05	0	81.4471750912004	0.292390465296543	0.486221941489042	0.118538516601244	1.98471455928409	9.2182373607946e-05	0.00270535226892885	0.124430172653578	0	8.015858574604e-06	3.45429798312982	0.00217630560300499	0.0145407674543317	1.00467965823585	0.237221318656831	0	0	0.000136269595768268	9.16905606051011	0.162814111438069	2.4047575723812e-05	0.00239674171380659	8.015858574604e-06	0	0	4.007929287302e-06	0	0	0	0	0	0.000625236968819112	0.000348689847995274	0.00110218055400805	0	0.353531426574335	0.912385062607863	0.00448888080177824	0.00266126504676853
